"Table 1600. Number of earners in consumer unit: Annual expenditure means, shares, standard errors, and coefficient of variation, Consumer Expenditure Survey, 2013",,,,,,,
,,,,,,,
Item,"All
consumer
units",Single consumers,,Consumer units of two or more people,,,
CV(%),2.26,5.37,7.15,7.63,4.25,2.68,5.98
Fresh vegetables,,,,,,,
Mean,236,125,134,229,276,282,348
Share,.5,.5,.4,.6,.5,.4,.4
SE,4.66,5.76,7.49,14.14,9.54,7.44,17.99
CV(%),1.98,4.61,5.60,6.16,3.46,2.64,5.17
Processed fruits,,,,,,,
Mean,115,62,65,112,136,132,187
Share,.2,.3,.2,.3,.3,.2,.2
SE,3.10,5.05,4.57,6.72,5.17,5.58,14.50
CV(%),2.70,8.12,7.03,6.00,3.81,4.23,7.76
Processed vegetables,,,,,,,
Mean,130,69,64,125,153,152,224
Share,.3,.3,.2,.3,.3,.2,.3
SE,3.42,5.22,3.68,7.56,6.87,6.57,17.58
CV(%),2.64,7.60,5.76,6.07,4.49,4.31,7.85
Other food at home,,,,,,,
Mean,"1,412",768,777,"1,295","1,603","1,701","2,310"
Share,2.8,3.1,2.1,3.2,3.0,2.6,3.0
SE,26.14,29.11,37.53,65.11,54.65,43.54,114.86
CV(%),1.85,3.79,4.83,5.03,3.41,2.56,4.97
Sugar and other sweets,,,,,,,
Mean,143,78,75,145,168,163,238
Share,.3,.3,.2,.4,.3,.2,.3
SE,3.20,5.38,6.45,9.00,8.17,5.70,18.84
CV(%),2.24,6.86,8.55,6.19,4.86,3.49,7.93
Fats and oils,,,,,,,
Mean,117,70,63,119,137,133,189
Share,.2,.3,.2,.3,.3,.2,.2
SE,3.32,4.49,5.84,8.81,6.36,5.67,13.59
CV(%),2.85,6.46,9.34,7.41,4.64,4.28,7.20
Miscellaneous foods,,,,,,,
Mean,728,386,402,629,821,899,"1,170"
Share,1.4,1.6,1.1,1.6,1.6,1.4,1.5
SE,16.37,18.04,22.18,35.43,32.96,33.39,68.18
CV(%),2.25,4.67,5.52,5.64,4.01,3.71,5.82
Nonalcoholic beverages,,,,,,,
Mean,384,216,212,359,434,455,640
Share,.8,.9,.6,.9,.8,.7,.8
SE,7.38,12.43,11.45,22.28,19.31,10.60,36.87
CV(%),1.92,5.77,5.40,6.20,4.45,2.33,5.76
Food prepared by consumer unit on out-of-town trips,,,,,,,
Mean,42,18,25,43,43,51,73
Share,.1,.1,.1,.1,.1,.1,.1
SE,2.39,3.56,2.51,6.62,3.88,3.98,7.19
CV(%),5.72,19.84,9.94,15.27,8.95,7.79,9.86
Food away from home,,,,,,,
Mean,"2,625",953,"1,977","1,910","2,599","3,567","4,031"
Share,5.1,3.9,5.4,4.8,4.9,5.4,5.2
SE,50.93,100.76,81.67,113.55,88.73,71.95,228.83
CV(%),1.94,10.58,4.13,5.95,3.41,2.02,5.68
,,,,,,,
Alcoholic beverages,,,,,,,
Mean,445,178,464,376,341,581,706
Share,.9,.7,1.3,.9,.6,.9,.9
SE,17.34,17.21,33.80,38.68,30.50,29.50,89.78
CV(%),3.90,9.66,7.28,10.28,8.95,5.08,12.71
,,,,,,,
Housing,,,,,,,
Mean,"17,148","9,992","13,089","13,904","18,232","21,334","22,356"
Share,33.6,40.7,36.0,34.8,34.7,32.4,28.7
SE,171.13,281.03,211.90,481.87,279.94,278.68,480.51
CV(%),1.00,2.81,1.62,3.47,1.54,1.31,2.15
Shelter,,,,,,,
Mean,"10,080","6,034","8,664","7,128","10,785","12,376","12,643"
Share,19.7,24.6,23.8,17.8,20.5,18.8,16.2
SE,125.36,238.52,155.58,237.10,218.55,204.71,371.98
CV(%),1.24,3.95,1.80,3.33,2.03,1.65,2.94
Owned dwellings,,,,,,,
Mean,"6,108","2,938","3,723","4,497","6,404","8,380","8,767"
Share,12.0,12.0,10.2,11.3,12.2,12.7,11.3
SE,89.33,169.94,139.30,203.23,229.65,200.74,309.96
CV(%),1.46,5.78,3.74,4.52,3.59,2.40,3.54
Mortgage interest and charges,,,,,,,
Mean,"3,078",750,"1,951","1,258","3,300","4,721","4,596"
Share,6.0,3.1,5.4,3.1,6.3,7.2,5.9
SE,65.40,123.15,99.43,86.05,159.22,126.90,213.98
CV(%),2.12,16.42,5.10,6.84,4.83,2.69,4.66
Property taxes,,,,,,,
Mean,"1,848","1,218","1,037","1,813","1,874","2,326","2,714"
Share,3.6,5.0,2.9,4.5,3.6,3.5,3.5
SE,39.05,52.49,45.58,78.77,62.75,75.02,100.90
CV(%),2.11,4.31,4.39,4.34,3.35,3.23,3.72
"Maintenance, repairs, insurance, other expenses",,,,,,,
Mean,"1,182",970,734,"1,425","1,231","1,332","1,457"
Share,2.3,3.9,2.0,3.6,2.3,2.0,1.9
SE,27.24,84.78,54.50,112.85,79.11,68.49,121.17
CV(%),2.31,8.74,7.42,7.92,6.43,5.14,8.31
Rented dwellings,,,,,,,
Mean,"3,324","2,889","4,556","1,873","3,684","3,150","2,977"
Share,6.5,11.8,12.5,4.7,7.0,4.8,3.8
SE,55.26,159.71,124.60,168.26,145.58,97.50,236.48
CV(%),1.66,5.53,2.73,8.98,3.95,3.09,7.94
Other lodging,,,,,,,
Mean,649,207,385,758,696,846,898
Share,1.3,.8,1.1,1.9,1.3,1.3,1.2
SE,25.47,29.64,35.24,108.99,45.26,49.40,84.79
CV(%),3.93,14.34,9.15,14.37,6.50,5.84,9.44
"Utilities, fuels, and public services",,,,,,,
Mean,"3,737","2,321","2,355","3,558","4,061","4,421","5,700"
Share,7.3,9.4,6.5,8.9,7.7,6.7,7.3
SE,28.64,51.70,54.59,55.37,49.99,42.53,144.64
CV(%),.77,2.23,2.32,1.56,1.23,.96,2.54
Natural gas,,,,,,,
Mean,393,283,242,393,404,458,603
Share,.8,1.2,.7,1.0,.8,.7,.8
SE,11.34,15.74,11.49,20.41,14.41,15.05,27.13
CV(%),2.89,5.56,4.74,5.20,3.56,3.28,4.50
Electricity,,,,,,,
Mean,"1,422",965,918,"1,505","1,597","1,610","1,943"
Share,2.8,3.9,2.5,3.8,3.0,2.4,2.5
SE,18.87,26.32,26.94,36.87,30.34,27.48,47.93
CV(%),1.33,2.73,2.93,2.45,1.90,1.71,2.47
Fuel oil and other fuels,,,,,,,
Mean,142,121,79,146,138,158,260
Share,.3,.5,.2,.4,.3,.2,.3
SE,8.65,12.35,9.06,15.85,14.08,12.86,43.90
CV(%),6.07,10.23,11.48,10.88,10.21,8.15,16.88
Telephone services,,,,,,,
Mean,"1,271",626,818,984,"1,371","1,598","2,112"
Share,2.5,2.5,2.2,2.5,2.6,2.4,2.7
SE,10.84,14.79,19.58,23.15,21.50,21.31,37.92
CV(%),.85,2.36,2.40,2.35,1.57,1.33,1.80
"Residential phone service, VOIP, and phone cards",,,,,,,
Mean,358,352,207,461,374,373,462
Share,.7,1.4,.6,1.2,.7,.6,.6
SE,5.09,11.02,7.89,13.71,9.75,8.57,14.63
CV(%),1.42,3.13,3.81,2.97,2.61,2.30,3.17
Cellular phone service,,,,,,,
Mean,913,274,610,523,997,"1,226","1,650"
Share,1.8,1.1,1.7,1.3,1.9,1.9,2.1
SE,10.39,11.44,18.02,22.18,19.81,20.80,37.64
CV(%),1.14,4.17,2.95,4.24,1.99,1.70,2.28
Water and other public services,,,,,,,
Mean,509,326,298,531,551,597,782
Share,1.0,1.3,.8,1.3,1.0,.9,1.0
SE,11.11,15.50,12.84,18.17,16.13,13.16,48.34
CV(%),2.18,4.76,4.30,3.42,2.93,2.21,6.18
Household operations,,,,,,,
Mean,"1,144",676,560,912,"1,128","1,744","1,153"
Share,2.2,2.8,1.5,2.3,2.1,2.6,1.5
SE,27.43,46.39,24.93,61.53,33.94,68.30,71.72
CV(%),2.40,6.86,4.45,6.75,3.01,3.92,6.22
Personal services,,,,,,,
Mean,368,135,16,139,301,813,238
Share,.7,.5,a/,.3,.6,1.2,.3
SE,20.16,28.12,4.45,35.47,24.24,51.46,52.50
CV(%),5.48,20.88,28.56,25.58,8.05,6.33,22.08
Other household expenses,,,,,,,
Mean,776,542,545,773,827,931,916
Share,1.5,2.2,1.5,1.9,1.6,1.4,1.2
SE,12.63,34.05,24.17,42.43,24.48,27.17,40.43
CV(%),1.63,6.29,4.44,5.49,2.96,2.92,4.42
Housekeeping supplies,,,,,,,
Mean,645,368,367,663,716,786,893
Share,1.3,1.5,1.0,1.7,1.4,1.2,1.1
SE,17.83,25.69,36.20,48.10,29.66,39.23,88.52
CV(%),2.77,6.97,9.85,7.26,4.14,4.99,9.92
Laundry and cleaning supplies,,,,,,,
Mean,154,86,73,172,184,182,215
Share,.3,.4,.2,.4,.4,.3,.3
SE,5.26,8.34,5.97,22.71,7.82,9.25,21.67
CV(%),3.42,9.69,8.17,13.18,4.25,5.09,10.07
Other household products,,,,,,,
Mean,350,166,203,353,390,437,501
Share,.7,.7,.6,.9,.7,.7,.6
SE,14.43,13.12,34.05,26.80,23.37,33.63,66.06
CV(%),4.12,7.89,16.73,7.58,5.99,7.70,13.20
Postage and stationery,,,,,,,
Mean,140,116,91,137,142,168,177
Share,.3,.5,.3,.3,.3,.3,.2
SE,6.32,14.07,10.30,21.84,12.94,10.06,26.18
CV(%),4.50,12.14,11.34,15.97,9.13,6.00,14.79
Household furnishings and equipment,,,,,,,
Mean,"1,542",592,"1,142","1,643","1,543","2,007","1,967"
Share,3.0,2.4,3.1,4.1,2.9,3.0,2.5
SE,42.03,45.49,56.52,247.87,74.58,62.31,119.44
CV(%),2.73,7.69,4.95,15.08,4.83,3.10,6.07
Household textiles,,,,,,,
Mean,97,55,70,98,96,119,140
Share,.2,.2,.2,.2,.2,.2,.2
SE,6.44,16.17,11.52,41.97,12.38,12.51,26.48
CV(%),6.61,29.32,16.43,42.79,12.85,10.54,18.91
Furniture,,,,,,,
Mean,382,120,266,479,360,505,514
Share,.7,.5,.7,1.2,.7,.8,.7
SE,19.32,18.79,23.58,147.56,26.11,30.66,77.54
CV(%),5.05,15.64,8.88,30.80,7.24,6.07,15.08
Floor coverings,,,,,,,
Mean,20,5,13,43,23,22,19
Share,a/,a/,a/,.1,a/,a/,a/
SE,2.40,.73,2.57,21.68,4.53,3.71,3.94
CV(%),11.95,15.53,19.89,50.95,19.98,17.09,20.82
Major appliances,,,,,,,
Mean,214,78,127,224,260,259,312
Share,.4,.3,.4,.6,.5,.4,.4
SE,8.34,10.37,14.23,33.19,25.47,18.97,48.98
CV(%),3.90,13.20,11.18,14.84,9.81,7.33,15.72
"Small appliances, miscellaneous housewares",,,,,,,
Mean,100,58,62,79,105,123,184
Share,.2,.2,.2,.2,.2,.2,.2
SE,5.67,5.97,6.41,8.96,14.29,8.46,34.42
CV(%),5.64,10.24,10.40,11.29,13.55,6.91,18.70
Miscellaneous household equipment,,,,,,,
Mean,727,275,604,721,698,980,798
Share,1.4,1.1,1.7,1.8,1.3,1.5,1.0
SE,25.30,28.91,51.19,107.37,45.36,48.39,70.34
CV(%),3.48,10.51,8.47,14.90,6.50,4.94,8.81
,,,,,,,
Apparel and services,,,,,,,
Mean,"1,604",586,"1,074","1,041","1,984","2,112","1,976"
Share,3.1,2.4,3.0,2.6,3.8,3.2,2.5
SE,36.26,84.27,60.38,106.00,71.50,70.52,165.34
CV(%),2.26,14.39,5.62,10.18,3.60,3.34,8.37
Men and boys,,,,,,,
Mean,374,90,299,288,409,502,518
Share,.7,.4,.8,.7,.8,.8,.7
SE,14.56,14.44,31.21,38.01,19.62,32.24,72.72
CV(%),3.89,16.09,10.45,13.21,4.80,6.43,14.03
"Men, 16 and over",,,,,,,
Mean,304,80,282,237,287,410,443
Share,.6,.3,.8,.6,.5,.6,.6
SE,14.26,13.57,30.16,31.56,17.46,32.49,71.32
CV(%),4.69,16.96,10.70,13.31,6.09,7.92,16.09
"Boys, 2 to 15",,,,,,,
Mean,70,10,17,51,122,91,75
Share,.1,a/,a/,.1,.2,.1,.1
SE,3.71,3.13,4.72,13.79,11.24,5.79,11.56
CV(%),5.29,32.04,27.70,27.18,9.18,6.34,15.44
Women and girls,,,,,,,
Mean,636,327,383,444,787,825,723
Share,1.2,1.3,1.1,1.1,1.5,1.3,.9
SE,21.12,63.04,28.72,58.28,39.84,38.96,75.16
CV(%),3.32,19.30,7.50,13.14,5.06,4.72,10.39
"Women, 16 and over",,,,,,,
Mean,527,316,361,377,600,678,586
Share,1.0,1.3,1.0,.9,1.1,1.0,.8
SE,19.66,62.48,28.48,54.67,37.95,37.82,65.86
CV(%),3.73,19.76,7.88,14.52,6.32,5.58,11.24
"Girls, 2 to 15",,,,,,,
Mean,109,11,22,67,187,147,137
Share,.2,a/,.1,.2,.4,.2,.2
SE,7.02,3.59,4.50,23.33,17.48,11.68,26.76
CV(%),6.41,34.18,20.87,34.78,9.35,7.92,19.48
Children under 2,,,,,,,
Mean,75,7,23,47,126,104,55
Share,.1,a/,.1,.1,.2,.2,.1
SE,5.16,2.58,7.72,23.17,10.83,10.34,17.42
CV(%),6.93,36.38,34.25,49.05,8.59,9.98,31.44
Footwear,,,,,,,
Mean,307,76,187,132,431,403,422
Share,.6,.3,.5,.3,.8,.6,.5
SE,14.83,10.72,22.36,21.82,36.54,26.89,61.21
CV(%),4.83,14.11,11.97,16.57,8.48,6.67,14.51
Other apparel products and services,,,,,,,
Mean,211,86,184,130,230,278,257
Share,.4,.4,.5,.3,.4,.4,.3
SE,8.97,13.74,15.85,14.07,19.05,20.10,33.74
CV(%),4.25,15.94,8.64,10.79,8.27,7.23,13.11
,,,,,,,
Transportation,,,,,,,
Mean,"9,004","3,501","6,050","6,911","9,000","11,785","16,070"
Share,17.6,14.2,16.6,17.3,17.1,17.9,20.6
SE,147.91,235.44,282.28,408.55,285.75,279.45,903.67
CV(%),1.64,6.73,4.67,5.91,3.17,2.37,5.62
Vehicle purchases (net outlay),,,,,,,
Mean,"3,271",920,"2,101","2,476","3,090","4,393","6,665"
Share,6.4,3.7,5.8,6.2,5.9,6.7,8.6
SE,120.76,168.28,235.99,364.54,240.93,251.19,792.25
CV(%),3.69,18.29,11.23,14.72,7.80,5.72,11.89
"Cars and trucks, new",,,,,,,
Mean,"1,563",483,873,"1,550","1,440","2,011","3,368"
Share,3.1,2.0,2.4,3.9,2.7,3.1,4.3
SE,88.12,121.25,167.16,285.27,171.84,192.30,558.21
CV(%),5.64,25.12,19.15,18.41,11.93,9.56,16.57
"Cars and trucks, used",,,,,,,
Mean,"1,669",429,"1,163",908,"1,636","2,326","3,243"
Share,3.3,1.7,3.2,2.3,3.1,3.5,4.2
SE,76.12,110.18,162.85,170.96,155.18,170.17,473.03
CV(%),4.56,25.68,14.00,18.82,9.49,7.32,14.59
Other vehicles,,,,,,,
Mean,39,8,65,18,14,56,54
Share,.1,a/,.2,a/,a/,.1,.1
SE,9.05,6.06,28.57,15.32,10.86,20.07,28.90
CV(%),23.46,73.55,44.17,84.05,78.97,35.78,53.72
Gasoline and motor oil,,,,,,,
Mean,"2,611",915,"1,721","1,898","2,740","3,473","4,470"
Share,5.1,3.7,4.7,4.8,5.2,5.3,5.7
SE,25.07,32.88,36.46,44.56,42.70,33.85,101.73
CV(%),.96,3.59,2.12,2.35,1.56,.97,2.28
Other vehicle expenses,,,,,,,
Mean,"2,584","1,481","1,821","2,039","2,639","3,204","4,179"
Share,5.1,6.0,5.0,5.1,5.0,4.9,5.4
SE,47.94,150.79,91.04,172.32,116.85,87.31,336.01
CV(%),1.86,10.18,5.00,8.45,4.43,2.72,8.04
Vehicle finance charges,,,,,,,
Mean,204,32,127,98,202,313,353
Share,.4,.1,.3,.2,.4,.5,.5
SE,5.39,5.04,7.02,10.70,9.22,9.88,25.06
CV(%),2.65,15.53,5.53,10.95,4.56,3.15,7.09
Maintenance and repairs,,,,,,,
Mean,835,351,665,638,807,"1,076","1,375"
Share,1.6,1.4,1.8,1.6,1.5,1.6,1.8
SE,18.90,21.70,40.09,61.83,43.20,30.58,75.46
CV(%),2.26,6.18,6.03,9.69,5.35,2.84,5.49
Vehicle insurance,,,,,,,
Mean,"1,013",910,614,905,"1,032","1,130","1,700"
Share,2.0,3.7,1.7,2.3,2.0,1.7,2.2
SE,42.15,143.40,58.93,152.06,104.16,75.10,307.58
CV(%),4.16,15.75,9.60,16.80,10.09,6.65,18.09
"Vehicle rental, leases, licenses, and other charges",,,,,,,
Mean,533,187,415,398,598,685,751
Share,1.0,.8,1.1,1.0,1.1,1.0,1.0
SE,22.75,40.01,43.97,37.92,49.96,47.31,62.69
CV(%),4.27,21.42,10.60,9.52,8.35,6.91,8.35
Public and other transportation,,,,,,,
Mean,537,185,408,497,531,714,756
Share,1.1,.8,1.1,1.2,1.0,1.1,1.0
SE,16.11,18.63,26.44,56.19,37.83,43.41,69.14
CV(%),3.00,10.09,6.48,11.31,7.12,6.08,9.15
,,,,,,,
Healthcare,,,,,,,
Mean,"3,631","2,944","1,944","4,986","3,825","4,005","4,656"
Share,7.1,12.0,5.3,12.5,7.3,6.1,6.0
SE,53.45,158.89,67.65,175.16,139.52,72.61,179.87
CV(%),1.47,5.40,3.48,3.51,3.65,1.81,3.86
Health insurance,,,,,,,
Mean,"2,229","1,790","1,144","3,284","2,376","2,444","2,709"
Share,4.4,7.3,3.1,8.2,4.5,3.7,3.5
SE,35.47,62.02,50.02,106.07,91.81,54.15,99.28
CV(%),1.59,3.46,4.37,3.23,3.86,2.22,3.67
Medical services,,,,,,,
Mean,796,612,454,734,814,949,"1,264"
Share,1.6,2.5,1.3,1.8,1.5,1.4,1.6
SE,29.61,119.68,38.17,53.83,68.70,48.91,104.19
CV(%),3.72,19.54,8.40,7.33,8.44,5.15,8.25
Drugs,,,,,,,
Mean,470,450,264,785,477,470,509
Share,.9,1.8,.7,2.0,.9,.7,.7
SE,9.51,21.80,17.33,42.49,23.41,17.23,29.16
CV(%),2.02,4.84,6.57,5.41,4.91,3.66,5.73
Medical supplies,,,,,,,
Mean,135,91,82,183,158,141,175
Share,.3,.4,.2,.5,.3,.2,.2
SE,5.68,13.19,8.25,27.45,17.24,6.31,15.25
CV(%),4.19,14.48,10.12,15.02,10.88,4.47,8.73
,,,,,,,
Entertainment,,,,,,,
Mean,"2,482","1,234","1,789","1,760","2,551","3,296","3,546"
Share,4.9,5.0,4.9,4.4,4.8,5.0,4.6
SE,49.14,73.72,106.44,71.85,87.15,105.36,242.60
CV(%),1.98,5.98,5.95,4.08,3.42,3.20,6.84
Fees and admissions,,,,,,,
Mean,569,161,384,367,563,829,889
Share,1.1,.7,1.1,.9,1.1,1.3,1.1
SE,20.81,22.35,24.08,47.06,37.44,44.25,89.46
CV(%),3.66,13.90,6.27,12.82,6.65,5.34,10.06
Audio and visual equipment and services,,,,,,,
Mean,964,665,733,810,"1,006","1,161","1,253"
Share,1.9,2.7,2.0,2.0,1.9,1.8,1.6
SE,14.56,22.62,41.61,19.50,32.08,29.20,48.83
CV(%),1.51,3.40,5.67,2.41,3.19,2.51,3.90
"Pets, toys, hobbies, and playground equipment",,,,,,,
Mean,596,316,523,408,625,756,733
Share,1.2,1.3,1.4,1.0,1.2,1.1,.9
SE,26.42,47.77,91.56,37.11,30.18,39.94,92.93
CV(%),4.43,15.09,17.52,9.10,4.83,5.28,12.69
Pets,,,,,,,
Mean,460,236,450,318,465,568,590
Share,.9,1.0,1.2,.8,.9,.9,.8
SE,22.29,34.25,86.07,30.11,28.07,26.94,78.08
CV(%),4.85,14.50,19.15,9.46,6.03,4.74,13.24
"Toys, hobbies, and playground equipment",,,,,,,
Mean,136,80,73,89,159,188,143
Share,.3,.3,.2,.2,.3,.3,.2
SE,11.52,34.17,20.71,22.63,14.83,21.94,37.68
CV(%),8.45,42.57,28.34,25.30,9.31,11.69,26.37
"Other entertainment supplies, equipment, and services",,,,,,,
Mean,353,92,149,175,357,550,672
Share,.7,.4,.4,.4,.7,.8,.9
SE,23.56,29.80,28.88,39.71,64.34,71.96,147.29
CV(%),6.67,32.53,19.39,22.65,18.03,13.09,21.92
,,,,,,,
Personal care products and services,,,,,,,
Mean,608,314,395,539,657,776,825
Share,1.2,1.3,1.1,1.3,1.2,1.2,1.1
SE,14.94,18.98,18.43,32.10,30.75,28.24,42.63
CV(%),2.46,6.05,4.66,5.96,4.68,3.64,5.17
,,,,,,,
Reading,,,,,,,
Mean,102,72,75,127,107,115,120
Share,.2,.3,.2,.3,.2,.2,.2
SE,2.63,5.95,5.25,11.85,5.82,3.82,8.74
CV(%),2.57,8.23,7.02,9.35,5.43,3.34,7.27
,,,,,,,
Education,,,,,,,
Mean,"1,138",502,749,706,"1,121","1,393","2,573"
Share,2.2,2.0,2.1,1.8,2.1,2.1,3.3
SE,45.80,91.03,74.71,264.59,82.35,102.22,255.40
CV(%),4.03,18.12,9.98,37.45,7.35,7.34,9.93
,,,,,,,
Tobacco products and smoking supplies,,,,,,,
Mean,330,229,256,308,336,373,490
Share,.6,.9,.7,.8,.6,.6,.6
SE,11.94,19.40,16.76,37.65,18.13,17.58,46.27
CV(%),3.62,8.47,6.55,12.22,5.39,4.71,9.44
,,,,,,,
Miscellaneous,,,,,,,
Mean,645,416,580,501,590,779,961
Share,1.3,1.7,1.6,1.3,1.1,1.2,1.2
SE,32.72,51.10,59.63,74.93,53.58,47.41,147.83
CV(%),5.08,12.29,10.29,14.96,9.09,6.08,15.39
,,,,,,,
